DATE_KEY,Year,Quarter,Month,Day,Sum of DAY,Sum of MONTH,MONTH_NAME,Sum of QUARTER,Sum of YEAR,DAY_NAME
0001ffe4d82d0d8f9fec5ab0b4faa2db,2013,Qtr 4,October,7,7,10,Octth,4,2013,Day
0095a52f8a0e02a140bcad01e006d00c,2011,Qtr 3,July,26,26,7,Julth,3,2011,Day
00bfaeb585c87c9f5074d228abb4b8fb,2012,Qtr 3,August,11,11,8,Augth,3,2012,Day
00c0d1d4fb14e331ca9e478a9afc945d,2011,Qtr 4,October,23,23,10,Octth,4,2011,Day
01070cf843f2ca45e3d4ec7c02c52551,2013,Qtr 1,January,14,14,1,Janth,1,2013,Day
0120f4004ede1143c3be6caa4227affe,2013,Qtr 3,September,27,27,9,Septh,3,2013,Day
013f173c58073e845f675d26fdde1918,2013,Qtr 3,July,2,2,7,Julth,3,2013,Day
0149f124a48640c62d90840ac5760331,2013,Qtr 3,August,13,13,8,Augth,3,2013,Day
01e8942a5792053a553c4612bd6c06a6,2014,Qtr 1,January,27,27,1,Janth,1,2014,Day
01e9454335c45aa6cdee165f2c25b3c0,2012,Qtr 3,August,20,20,8,Augth,3,2012,Day
01eb8a9956865747637639482336f5f8,2013,Qtr 1,January,31,31,1,Janth,1,2013,Day
01fa6f8199200216ae5fb86e25570605,2011,Qtr 3,September,14,14,9,Septh,3,2011,Day
0215d13a3368541a5d2965db89d41de3,2011,Qtr 1,February,6,6,2,Febth,1,2011,Day
021a9f9ff27cc992988201b84cae392f,2012,Qtr 1,February,16,16,2,Febth,1,2012,Day
021d7f51f97fea2b23b069288066b34d,2014,Qtr 1,February,3,3,2,Febth,1,2014,Day
024c27431ac9d720119c6c64f5ea46d3,2011,Qtr 3,July,19,19,7,Julth,3,2011,Day
02ad1a5ca18e58629b8c1d6a6401d071,2013,Qtr 2,May,22,22,5,Mayth,2,2013,Day
02b96ab6e0935145589be4e1408a1675,2013,Qtr 3,September,10,10,9,Septh,3,2013,Day
02bc737163cde26453ad278829f046f2,2011,Qtr 4,November,3,3,11,Novth,4,2011,Day
0383d48e76cd8a3dfb9e2a890f2cac18,2013,Qtr 3,July,9,9,7,Julth,3,2013,Day
03bf7d2a8718ee9aca4bd2f37e962fc4,2013,Qtr 3,August,16,16,8,Augth,3,2013,Day
03e9c154083778a02a19e7d2c3dcd97d,2012,Qtr 1,January,5,5,1,Janth,1,2012,Day
043dc8381a880800c6904db9a2d6994e,2012,Qtr 3,August,28,28,8,Augth,3,2012,Day
048405fe051586c63978bfe6b3a8b733,2012,Qtr 4,December,29,29,12,Decth,4,2012,Day
04dbdf67bb8714ba18c9c36d50d1f5dc,2013,Qtr 3,July,24,24,7,Julth,3,2013,Day
050bcbb7849a1aed0fb1af1cdb635b4a,2011,Qtr 2,May,22,22,5,Mayth,2,2011,Day
052bef40cf5de65502f816e08746e64c,2011,Qtr 1,February,8,8,2,Febth,1,2011,Day
058af5b2a408d57b708367e5bf4e9d9c,2013,Qtr 4,October,3,3,10,Octth,4,2013,Day
05c5da89af1a92d8b290990620fd3737,2011,Qtr 1,March,22,22,3,Marth,1,2011,Day
05e7920e8caf0303dc01b77666952b75,2013,Qtr 3,September,24,24,9,Septh,3,2013,Day
05e9b1aef79ffc1802e11be68f5d1062,2011,Qtr 2,June,6,6,6,Junth,2,2011,Day
0605970f0e23f47a1e2af81a5f9bc913,2011,Qtr 1,February,10,10,2,Febth,1,2011,Day
060e60684e6fb7ae3c79db1e8c889417,2012,Qtr 4,November,29,29,11,Novth,4,2012,Day
07074f83c23833dcaa105e1acf3c3b98,2011,Qtr 1,March,7,7,3,Marth,1,2011,Day
070e7bb8852d69e16952038e5532904f,2013,Qtr 1,January,12,12,1,Janth,1,2013,Day
072bf847aeeee970f66483e596496cd9,2013,Qtr 1,February,24,24,2,Febth,1,2013,Day
07713adfd12a8cd9d376671631f3bc02,2013,Qtr 1,January,15,15,1,Janth,1,2013,Day
07b31bae17c7890b17d79a654aa230cf,2013,Qtr 2,May,29,29,5,Mayth,2,2013,Day
07b38747fb1cdad01d7ff97006ca5ccb,2011,Qtr 1,January,29,29,1,Janth,1,2011,Day
